For Account:,#####3758


TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description

12/29/21,Sold,EQ,ALLO,-600,9264.48,15.441,0,ALLOGENE THERAPEUTICS INC     COMMON STOCK
12/29/21,Sold,EQ,ALLO,-400,6181.91,15.455,0,ALLOGENE THERAPEUTICS INC     COMMON STOCK
12/29/21,Sold,EQ,ALLO,-1000,15362.2,15.3624,0,ALLOGENE THERAPEUTICS INC     COMMON STOCK
12/29/21,Sold,EQ,ALLO,-4050,61681.11,15.2301,0,ALLOGENE THERAPEUTICS INC     COMMON STOCK
12/29/21,Sold,EQ,BTAI,-1500,32804.65,21.87,0,BIOXCEL THERAPEUTICS INC      COMMON STOCK
12/29/21,Sold,EQ,ZYNE,-3080,8962.38,2.91,0,ZYNERBA PHARMACEUTICALS INC   COM
12/29/21,Sold,EQ,ZYNE,-3970,11552.57,2.9101,0,ZYNERBA PHARMACEUTICALS INC   COM
12/29/21,Sold,EQ,SLGL,-100,657.98,6.58,0,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES
12/29/21,Sold,EQ,SLGL,-200,1313.37,6.567,0,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES
12/29/21,Sold,EQ,SLGL,-1,6.62,6.63,0,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES
12/29/21,Sold,EQ,SLGL,-611,4001.95,6.55,0,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES
12/29/21,Sold,EQ,SLGL,-1047,6868.16,6.56,0,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES
12/29/21,Sold,EQ,SLGL,-200,1301.97,6.51,0,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES
12/29/21,Sold,EQ,SLGL,-2041,13266.19,6.5,0,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES
12/29/21,Sold,EQ,SLGL,-800,5255.87,6.57,0,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES
12/29/21,Sold,EQ,TRSSF,-5000,29342.3,5.87,6.95,***TERRASCEND CORP            COM
12/29/21,Sold,EQ,KURA,-410,5986.32,14.601,0,KURA ONCOLOGY INC             COM
12/29/21,Sold,EQ,GLYC,-9900,14353.74,1.45,0,GLYCOMIMETICS INC             COM
12/29/21,Sold,EQ,GLYC,-100,145.48,1.455,0,GLYCOMIMETICS INC             COM
12/23/21,Dividend,EQ,VIG,3.08123,-521.15,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           REIN @ 169.1368
12/23/21,Dividend,EQ,VIG,0,521.15,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           CASH DIV  ON
10/04/21,Dividend,EQ,SPR,0.1743,-8,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      REIN @  45.8982               REC 09/13/21 PAY 10/04/21
10/04/21,Dividend,EQ,SPR,0,8,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      CASH DIV  ON                  800.34156 SHS
09/23/21,Dividend,EQ,VIG,2.96903,-469.82,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           REIN @ 158.2400
09/23/21,Dividend,EQ,VIG,0,469.82,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           CASH DIV  ON
07/06/21,Dividend,EQ,SPR,0.17349,-8,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      REIN @  46.1126               REC 06/14/21 PAY 07/06/21
07/06/21,Dividend,EQ,SPR,0,8,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      CASH DIV  ON                  800.16807 SHS
06/24/21,Dividend,EQ,VIG,2.95216,-451.37,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           REIN @ 152.8950
06/24/21,Dividend,EQ,VIG,0,451.37,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           CASH DIV  ON
04/09/21,Dividend,EQ,SPR,0.16807,-8,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      REIN @  47.5982               REC 03/19/21 PAY 04/09/21
04/09/21,Dividend,EQ,SPR,0,8,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      CASH DIV  ON     800 SHS      REC 03/19/21 PAY 04/09/21
03/25/21,Dividend,EQ,VIG,2.38487,-341.89,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           REIN @ 143.3577
03/25/21,Dividend,EQ,VIG,0,341.89,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           CASH DIV  ON
02/26/21,Interest,EQ,#2145605,0,0.57,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
02/04/21,Bought,EQ,SLGL,5000,-49750,9.95,0,***SOL GEL TECHNOLOGIES LTD   ORDINARY SHARES
02/04/21,Bought,EQ,ZYNE,7050,-31936.5,4.53,0,ZYNERBA PHARMACEUTICALS INC   COM
02/04/21,Bought,EQ,SPR,800,-31524.96,39.4062,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A
02/02/21,Bought,EQ,TRSSF,5000,-66006.95,13.2,6.95,***TERRASCEND CORP            COM
01/26/21,Interest,EQ,#2145605,0,1.25,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST



